0,1,2,3,4,5,6,7,8,9,,
Pagamento com Débito em Conta,"R$35.404,00",Brazil,yyy,USD,BRL,35404,"40,518.59",-0.126228233,0,31409.75969,0.12716558
Pagamento Parcelado via Cartão de Crédito em Reais,"R$35.404,00",Brazil,yyy,USD,BRL,35404,"40,518.59",-0.126228233,0,31409.75969,0.12716558
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Brazil,yyy,USD,CAD,10000,"12,918.90",-0.225940289,0,10014.65116,-0.001462973
International Bank Transfer in US Dollars (USD),"$7,876.00",Brazil,yyy,USD,USD,7876,10000,0,-2124,7751.937984,0.016004
International Bank Transfer in Euros (EUR),"6.775,00 €",Brazil,yyy,USD,EUR,6775,"8,513.67",-0.204220976,0,6599.744186,0.02655494
International Bank Transfer in British Pounds (GBP),"£6,066.00",Brazil,yyy,USD,GBP,6066,"7,647.53",-0.206802719,0,5928.317829,0.023224492
VISA: Debit/Credit in USD,"$8,111.00",Brazil,yyy,USD,USD,8111,10000,0,-1889,7751.937984,0.046319
MasterCard: Debit/Credit in USD,"$8,111.00",Brazil,yyy,USD,USD,8111,10000,0,-1889,7751.937984,0.046319
VISA: Debit/Credit in BND,"$11,200.00",Brunei Darussalam,yyy,USD,BND,11200,"13,646.33",-0.179266513,0,10578.55039,0.058746198
MasterCard: Debit/Credit in BND,"$11,200.00",Brunei Darussalam,yyy,USD,BND,11200,"13,646.33",-0.179266513,0,10578.55039,0.058746198
MasterCard: Debit/Credit in SGD,"S$11,079.00",Brunei Darussalam,yyy,USD,SGD,11079,"13,646.33",-0.188133366,0,10578.55039,0.047307958
VISA: Debit/Credit in SGD,"S$11,079.00",Brunei Darussalam,yyy,USD,SGD,11079,"13,646.33",-0.188133366,0,10578.55039,0.047307958
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Brunei Darussalam,yyy,USD,CAD,10000,"12,917.48",-0.225855198,0,10013.55039,-0.001353205
International Bank Transfer in US Dollars (USD),"$7,879.00",Brunei Darussalam,yyy,USD,USD,7879,10000,0,-2121,7751.937984,0.016391
VISA: Debit/Credit in BGN,"??13,585.00",Bulgaria,yyy,USD,BGN,13585,"16,652.67",-0.184214904,0,12909.04651,0.052362774
MasterCard: Debit/Credit in BGN,"??13,585.00",Bulgaria,yyy,USD,BGN,13585,"16,652.67",-0.184214904,0,12909.04651,0.052362774
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bulgaria,yyy,USD,CAD,10000,"12,917.48",-0.225855198,0,10013.55039,-0.001353205
International Bank Transfer in US Dollars (USD),"$7,880.00",Bulgaria,yyy,USD,USD,7880,10000,0,-2120,7751.937984,0.01652
International Bank Transfer in British Pounds (GBP),"£6,064.00",Bulgaria,yyy,USD,GBP,6064,"7,647.27",-0.207037283,0,5928.116279,0.022921905
International Bank Transfer in Euros (EUR),"6.778,00 €",Bulgaria,yyy,USD,EUR,6778,"8,513.67",-0.203868602,0,6599.744186,0.027009504
American Express in EUR,"6.844,00 €",Bulgaria,yyy,USD,EUR,6844,"8,513.67",-0.196116363,0,6599.744186,0.037009891
Debit/Credit Card in BIF,"14,526,000.00 FBu",Burundi,yyy,USD,BIF,14526000,"177,21,390.54",-0.18031263,0,13737512.05,0.057396707
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Burundi,yyy,USD,CAD,10000,"12,923.65",-0.226224789,0,10018.33333,-0.001829978
International Bank Transfer in US Dollars (USD),"$7,880.00",Burundi,yyy,USD,USD,7880,10000,0,-2120,7751.937984,0.01652
Debit/Credit Card in KHR,"33,462,000.00 ?",Cambodia,yyy,USD,KHR,33462000,"410,17,765.46",-0.184207145,0,31796717.41,0.052372783
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Cambodia,yyy,USD,CAD,10000,"12,919.91",-0.2260008,0,10015.43411,-0.001541032
International Bank Transfer in US Dollars (USD),"$7,880.00",Cambodia,yyy,USD,USD,7880,10000,0,-2120,7751.937984,0.01652
MasterCard: Debit/Credit in XAF,"4,555,500.00 Fr",Cameroon,yyy,USD,XAF,4555500,"55,85,452.12",-0.18439906,0,4329807.845,0.052125213
VISA: Debit/Credit in XAF,"4,555,500.00 Fr",Cameroon,yyy,USD,XAF,4555500,"55,85,452.12",-0.18439906,0,4329807.845,0.052125213
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Cameroon,yyy,USD,CAD,10000,"12,919.91",-0.2260008,0,10015.43411,-0.001541032
International Bank Transfer in US Dollars (USD),"$7,878.00",Cameroon,yyy,USD,USD,7878,10000,0,-2122,7751.937984,0.016262
MasterCard: Debit/Credit in XAF,"4,555,500.00 Fr",Canada,yyy,USD,XAF,4555500,"55,85,452.12",-0.18439906,0,4329807.845,0.052125213
VISA: Debit/Credit in XAF,"4,555,500.00 Fr",Canada,yyy,USD,XAF,4555500,"55,85,452.12",-0.18439906,0,4329807.845,0.052125213
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Canada,yyy,USD,CAD,10000,"12,919.91",-0.2260008,0,10015.43411,-0.001541032
