VISA: Debit/Credit in XCD,"$28,500.00",Dominica,Northern Illinois University receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Dominica,Northern Illinois University receives
VISA: Debit/Credit in DOP,"$521,300.00",Dominican Republic,Northern Illinois University receives
MasterCard: Debit/Credit in DOP,"$521,300.00",Dominican Republic,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominican Republic,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ecuador,Northern Illinois University receives
,,Ecuador,Northern Illinois University receives
VISA: Debit/Credit in EGP,"?.?188,266.00",Egypt,Northern Illinois University receives
MasterCard: Debit/Credit in EGP,"?.?188,266.00",Egypt,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Egypt,Northern Illinois University receives
International Bank Transfer in Euros (EUR),"8.797,00 €",Egypt,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",El Salvador,Northern Illinois University receives
,,El Salvador,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Equatorial Guinea,Northern Illinois University receives
VISA: Debit/Credit in ERN,"158,070.00 Nfk",Eritrea,Northern Illinois University receives
MasterCard: Debit/Credit in ERN,"158,070.00 Nfk",Eritrea,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Eritrea,Northern Illinois University receives
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",Estonia,Northern Illinois University receives
VISA: Debit/Credit in EUR,"8.882,00 €",Estonia,Northern Illinois University receives
MasterCard: Debit/Credit in EUR,"8.882,00 €",Estonia,Northern Illinois University receives
American Express in EUR,"8.882,00 €",Estonia,Northern Illinois University receives
PayPal in EUR,"8.968,00 €",Estonia,Northern Illinois University receives
Online Bank Transfer,"8.797,00 €",Estonia,Northern Illinois University receives
,,Estonia,Northern Illinois University receives
VISA: Debit/Credit in ETB,"290,591.00 Br",Ethiopia,Northern Illinois University receives
Mastercard: Debit/Credit in ETB,"290,591.00 Br",Ethiopia,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ethiopia,Northern Illinois University receives
American Express in GBP,"£7,861.00",Falkland Islands (Malvinas),Northern Illinois University receives
VISA: Debit/Credit in GBP,"£7,861.00",Falkland Islands (Malvinas),Northern Illinois University receives
MasterCard: Debit/Credit in GBP,"£7,861.00",Falkland Islands (Malvinas),Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Falkland Islands (Malvinas),Northern Illinois University receives
MasterCard: Debit/Credit in DKK,"66.205,00 kr",Faroe Islands,Northern Illinois University receives
VISA: Debit/Credit in DKK,"66.205,00 kr",Faroe Islands,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Faroe Islands,Northern Illinois University receives
MasterCard: Debit/Credit in FJD,"22,156.00 $",Fiji,Northern Illinois University receives
VISA: Debit/Credit in FJD,"22,156.00 $",Fiji,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Fiji,Northern Illinois University receives
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",Finland,Northern Illinois University receives
VISA: Debit/Credit in EUR,"8.882,00 €",Finland,Northern Illinois University receives
MasterCard: Debit/Credit in EUR,"8.882,00 €",Finland,Northern Illinois University receives
American Express in EUR,"8.882,00 €",Finland,Northern Illinois University receives
PayPal in EUR,"8.968,00 €",Finland,Northern Illinois University receives
Online Bank Transfer,"8.797,00 €",Finland,Northern Illinois University receives
,,Finland,Northern Illinois University receives
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",France,Northern Illinois University receives
VISA: Debit/Credit in EUR,"8.882,00 €",France,Northern Illinois University receives
MasterCard: Debit/Credit in EUR,"8.882,00 €",France,Northern Illinois University receives
American Express in EUR,"8.882,00 €",France,Northern Illinois University receives
PayPal in EUR,"8.968,00 €",France,Northern Illinois University receives
,,France,Northern Illinois University receives
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",French Guiana,Northern Illinois University receives
,,French Guiana,Northern Illinois University receives
MasterCard: Debit/Credit in XPF,"1,075,705.00 Fr",French Polynesia,Northern Illinois University receives
VISA: Debit/Credit in XPF,"1,075,705.00 Fr",French Polynesia,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Polynesia,Northern Illinois University receives
International Bank Transfer in Euros (EUR),"8.797,00 €",French Polynesia,Northern Illinois University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,065.00",French Polynesia,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",French Southern Territories,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gabon,Northern Illinois University receives
VISA: Debit/Credit in GMD,"496,940.00 D",Gambia,Northern Illinois University receives
MasterCard: Debit/Credit in GMD,"496,940.00 D",Gambia,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gambia,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Georgia,Northern Illinois University receives
International Bank Transfer in Euros (EUR),"8.797,00 €",Georgia,Northern Illinois University receives
Online Bank Transfer,"8.797,00 €",Germany,Northern Illinois University receives
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",Germany,Northern Illinois University receives
VISA: Debit/Credit in EUR,"8.882,00 €",Germany,Northern Illinois University receives
MasterCard: Debit/Credit in EUR,"8.882,00 €",Germany,Northern Illinois University receives
American Express in EUR,"8.882,00 €",Germany,Northern Illinois University receives
PayPal in EUR,"8.968,00 €",Germany,Northern Illinois University receives
,,Germany,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ghana,Northern Illinois University receives
American Express in GBP,"£7,861.00",Gibraltar,Northern Illinois University receives
MasterCard: Debit/Credit in GBP,"£7,861.00",Gibraltar,Northern Illinois University receives
VISA: Debit/Credit in GBP,"£7,861.00",Gibraltar,Northern Illinois University receives
International Bank Transfer in Euros (EUR),"8.797,00 €",Gibraltar,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gibraltar,Northern Illinois University receives
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",Greece,Northern Illinois University receives
VISA: Debit/Credit in EUR,"8.882,00 €",Greece,Northern Illinois University receives
MasterCard: Debit/Credit in EUR,"8.882,00 €",Greece,Northern Illinois University receives
American Express in EUR,"8.882,00 €",Greece,Northern Illinois University receives
PayPal in EUR,"8.968,00 €",Greece,Northern Illinois University receives
,,Greece,Northern Illinois University receives
MasterCard: Debit/Credit in DKK,"66.205,00 kr",Greenland,Northern Illinois University receives
VISA: Debit/Credit in DKK,"66.205,00 kr",Greenland,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Greenland,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Grenada,Northern Illinois University receives
VISA: Debit/Credit in XCD,"$28,500.00",Grenada,Northern Illinois University receives
MasterCard: Debit/Credit in XCD,"$28,500.00",Grenada,Northern Illinois University receives
International Bank Transfer in Euros (EUR),"8.797,00 €",Guadeloupe,Northern Illinois University receives
,,Guadeloupe,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guam,Northern Illinois University receives
MasterCard: Debit/Credit in GTQ,"GTQ78,978.00",Guatemala,Northern Illinois University receives
VISA: Debit/Credit in GTQ,"GTQ78,978.00",Guatemala,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guatemala,Northern Illinois University receives
American Express in GBP,"£7,861.00",Guernsey,Northern Illinois University receives
VISA: Debit/Credit in GBP,"£7,861.00",Guernsey,Northern Illinois University receives
MasterCard: Debit/Credit in GBP,"£7,861.00",Guernsey,Northern Illinois University receives
International Bank Transfer in British Pounds (GBP),"£7,786.00",Guernsey,Northern Illinois University receives
,,Guernsey,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea-Bissau,Northern Illinois University receives
VISA: Debit/Credit in GYD,"2,199,370.00 G$",Guyana,Northern Illinois University receives
Mastercard: Debit/Credit in GYD,"2,199,370.00 G$",Guyana,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guyana,Northern Illinois University receives
MasterCard: Debit/Credit in HTG,"696,600.00 G",Haiti,Northern Illinois University receives
Visa: Debit/Credit in HTG,"696,600.00 G",Haiti,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Haiti,Northern Illinois University receives
MasterCard: Debit/Credit in AUD,"A$14,160.00",Heard Island and McDonald Islands,Northern Illinois University receives
VISA: Debit/Credit in AUD,"A$14,160.00",Heard Island and McDonald Islands,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Heard Island and McDonald Islands,Northern Illinois University receives
VISA: Debit/Credit in HNL,"L253,000.00",Honduras,Northern Illinois University receives
MasterCard: Debit/Credit in HNL,"L253,000.00",Honduras,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Honduras,Northern Illinois University receives
Domestic Bank Transfer in Hong Kong Dollars (HKD),"HK$79,600.00",Hong Kong,Northern Illinois University receives
VISA: Debit/Credit in HKD,"HK$81,900.00",Hong Kong,Northern Illinois University receives
MasterCard: Debit/Credit in HKD,"HK$81,900.00",Hong Kong,Northern Illinois University receives
American Express in HKD,"HK$81,900.00",Hong Kong,Northern Illinois University receives
,,Hong Kong,Northern Illinois University receives
Bank Transfer from a Hungarian Forint (HUF) Account,"2.912.429,00 Ft",Hungary,Northern Illinois University receives
MasterCard: Debit/Credit in HUF,"2.969.204,00 Ft",Hungary,Northern Illinois University receives
VISA: Debit/Credit in HUF,"2.969.204,00 Ft",Hungary,Northern Illinois University receives
Online Bank Transfer,"2.912.429,00 Ft",Hungary,Northern Illinois University receives
,,Hungary,Northern Illinois University receives
,,Hungary,Northern Illinois University receives
,,Hungary,Northern Illinois University receives
,,Hungary,Northern Illinois University receives
MasterCard: Debit/Credit in ISK,"kr1.111.400,00",Iceland,Northern Illinois University receives
VISA: Debit/Credit in ISK,"kr1.111.400,00",Iceland,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iceland,Northern Illinois University receives
Domestic Bank Transfer in Indian Rupees (INR),"?696,795.00",India,Northern Illinois University receives
VISA: Debit/Credit in INR,"?721,318.00",India,Northern Illinois University receives
MasterCard: Debit/Credit in INR,"?721,318.00",India,Northern Illinois University receives
,,India,Northern Illinois University receives
Domestic Bank Transfer in Indonesian Rupiah (IDR),"Rp145.910.000,00",Indonesia,Northern Illinois University receives
VISA: Debit/Credit in IDR,"Rp150.680.000,00",Indonesia,Northern Illinois University receives
MasterCard: Debit/Credit in IDR,"Rp150.680.000,00",Indonesia,Northern Illinois University receives
,,Indonesia,Northern Illinois University receives
,,Indonesia,Northern Illinois University receives
,,Indonesia,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iraq,Northern Illinois University receives
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",Ireland,Northern Illinois University receives
VISA: Debit/Credit in EUR,"8.882,00 €",Ireland,Northern Illinois University receives
MasterCard: Debit/Credit in EUR,"8.882,00 €",Ireland,Northern Illinois University receives
American Express in EUR,"8.882,00 €",Ireland,Northern Illinois University receives
PayPal in EUR,"8.968,00 €",Ireland,Northern Illinois University receives
Online Bank Transfer,"8.797,00 €",Ireland,Northern Illinois University receives
,,Ireland,Northern Illinois University receives
American Express in GBP,"£7,861.00",Isle of Man,Northern Illinois University receives
VISA: Debit/Credit in GBP,"£7,861.00",Isle of Man,Northern Illinois University receives
