,,,
Debit/Credit Card in CRC,"?5.980.500,00",Costa Rica,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Costa Rica,University of Washington receives
VISA: Debit/Credit in XOF,"5,930,000.00 CFA",Côte d'Ivoire,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Côte d'Ivoire,University of Washington receives
Bank Transfer in Croatian Kuna (HRK),"kn65.445,00",Croatia,University of Washington receives
Debit/Credit Card in HRK,"kn66.720,00",Croatia,University of Washington receives
Online Bank Transfer,"kn65.445,00",Croatia,University of Washington receives
,,Croatia,University of Washington receives
,,Croatia,University of Washington receives
,,Croatia,University of Washington receives
,,Croatia,University of Washington receives
Debit/Credit Card in ANG,"18,953.00 NAƒ",Curaçao,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Curaçao,University of Washington receives
Domestic Bank Transfer in Euros (EUR),"8.823,00 €",Cyprus,University of Washington receives
VISA: Debit/Credit in EUR,"8.908,00 €",Cyprus,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.908,00 €",Cyprus,University of Washington receives
American Express in EUR,"8.908,00 €",Cyprus,University of Washington receives
PayPal in EUR,"8.994,00 €",Cyprus,University of Washington receives
Online Bank Transfer,"8.823,00 €",Cyprus,University of Washington receives
,,Cyprus,University of Washington receives
Debit/Credit Card in CZK,"K?234.328,00",Czech Republic,University of Washington receives
Bank Transfer from a Czech Koruna (CZK) Account,"K?229.255,00",Czech Republic,University of Washington receives
Online Bank Transfer,"K?229.255,00",Czech Republic,University of Washington receives
,,Czech Republic,University of Washington receives
,,Czech Republic,University of Washington receives
,,Czech Republic,University of Washington receives
,,Czech Republic,University of Washington receives
Domestic Bank Transfer in Danish Krone (DKK),"65.734,00 kr",Denmark,University of Washington receives
VISA: Debit/Credit in DKK,"66.369,00 kr",Denmark,University of Washington receives
MasterCard: Debit/Credit in DKK,"66.369,00 kr",Denmark,University of Washington receives
Online Bank Transfer,"65.734,00 kr",Denmark,University of Washington receives
,,Denmark,University of Washington receives
,,Denmark,University of Washington receives
Debit/Credit Card in DJF,"1,876,100.00 Fdj",Djibouti,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Djibouti,University of Washington receives
Debit/Credit Card in XCD,"$28,500.00",Dominica,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominica,University of Washington receives
Debit/Credit Card in DOP,"$523,800.00",Dominican Republic,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominican Republic,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ecuador,University of Washington receives
,,Ecuador,University of Washington receives
Debit/Credit Card in EGP,"?.?188,468.00",Egypt,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Egypt,University of Washington receives
International Bank Transfer in Euros (EUR),"8.821,00 €",Egypt,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",El Salvador,University of Washington receives
,,El Salvador,University of Washington receives
Debit/Credit Card in XAF,"5,930,200.00 Fr",Equatorial Guinea,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Equatorial Guinea,University of Washington receives
International Bank Transfer in Euros (EUR),"8.822,00 €",Equatorial Guinea,University of Washington receives
